audio_path,word,ipa,ipa_clean,source,split
data/raw/phonemeref_data/audio/fellow/en033447.mp3,fellow,/ˈfɛləʊ/,fɛloʊ,wordreference,train
data/raw/phonemeref_data/audio/silo/en078981.mp3,silo,/ˈsaɪləʊ/,saɪloʊ,wordreference,train
data/raw/phonemeref_data/audio/budding/en011330.mp3,budding,/ˈbʌdɪŋ/,bʌdɪŋ,wordreference,train
data/raw/phonemeref_data/audio/trinket/en1091734.mp3,trinket,/ˈtrɪŋkɪt/,trɪŋkɪt,wordreference,train
data/raw/phonemeref_data/audio/airlines/en002216.mp3,airlines,/ˈɛərlaɪn/,ɛərlaɪn,wordreference,train
data/raw/phonemeref_data/audio/sunken/en086323.mp3,sunken,/ˈsʌŋkən/,sʌŋkən,wordreference,train
data/raw/phonemeref_data/audio/treasured/en1091439.mp3,treasured,/ˈtrɛʒərd/,trɛʒərd,wordreference,train
data/raw/phonemeref_data/audio/lethal/en1051622.mp3,lethal,/ˈliːθəl/,liθəl,wordreference,train
data/raw/phonemeref_data/audio/albeit/en002293.mp3,albeit,/ɔːlˈbiːɪt/,ɔlbiɪt,wordreference,train
data/raw/phonemeref_data/audio/flank/en034553.mp3,flank,/ˈflæŋk/,flæŋk,wordreference,train
data/raw/phonemeref_data/audio/escalation/en1030416.mp3,escalation,/ˌɛskəˈleɪʃən/,ɛskəleɪʃən,wordreference,train
data/raw/phonemeref_data/audio/flickering/en034894.mp3,flickering,/ˈflɪkərɪŋ/,flɪkərɪŋ,wordreference,train
data/raw/phonemeref_data/audio/throws/en089970.mp3,throws,/ˈθrəʊ/,θroʊ,wordreference,train
data/raw/phonemeref_data/audio/ferret/en033558.mp3,ferret,/ˈfɛrɪt/,fɛrɪt,wordreference,train
data/raw/phonemeref_data/audio/latent/en1050669.mp3,latent,/ˈleɪtənt/,leɪtənt,wordreference,train
data/raw/phonemeref_data/audio/nationwide/en057664.mp3,nationwide,/ˌneɪʃənˈwaɪd/,neɪʃənwaɪd,wordreference,train
data/raw/phonemeref_data/audio/whilst/en097828.mp3,whilst,/ˈhwaɪlst/,hwaɪlst,wordreference,train
data\speechocean\audio\so_train_00865.wav,BUT NOT USE GOING OVER THAT,bətnətjuzgoʊɪŋoʊvəðæt,bətnətjuzgoʊɪŋoʊvəðæt,speechocean762,test
data/raw/phonemeref_data/audio/absences/en000294.mp3,absences,/ˈæbsəns/,æbsəns,wordreference,train
data/raw/phonemeref_data/audio/sides/en078741.mp3,sides,/ˈsaɪd/,saɪd,wordreference,train
data/raw/phonemeref_data/audio/ragged/en069156.mp3,ragged,/ˈrægɪd/,rægɪd,wordreference,train
data/raw/phonemeref_data/audio/interaction/en047034.mp3,interaction,/ˌɪntərˈækʃən/,ɪntərækʃən,wordreference,train
data/raw/phonemeref_data/audio/edges/en028587.mp3,edges,/ˈɛdʒ/,ɛdʒ,wordreference,train
data/raw/phonemeref_data/audio/disparate/en025834.mp3,disparate,/ˈdɪspərət/,dɪspərət,wordreference,train
data/raw/phonemeref_data/audio/twig/en092944.mp3,twig,/ˈtwɪg/,twɪg,wordreference,train
data/raw/phonemeref_data/audio/waistcoat/en096228.mp3,waistcoat,/ˈweɪskəʊt/,weɪskoʊt,wordreference,train
data/raw/phonemeref_data/audio/leakage/en050266.mp3,leakage,/ˈliːkɪdʒ/,likɪdʒ,wordreference,train
data/raw/phonemeref_data/audio/boilers/en009250.mp3,boilers,/ˈbɔɪlər/,bɔɪlər,wordreference,train
data/raw/phonemeref_data/audio/then/en089264.mp3,then,/ˈðɛn/,ðɛn,wordreference,train
data\speechocean\audio\so_train_01707.wav,THE CHILD WAS STILL CRYING,ðətʃaɪldwəzstɪlkraɪɪŋ,ðətʃaɪldwəzstɪlkraɪɪŋ,speechocean762,test
data/raw/phonemeref_data/audio/courteous/en020221.mp3,courteous,/ˈkɜːrtiəs/,kɜrtiəs,wordreference,train
data/raw/phonemeref_data/audio/meteor/en1055794.mp3,meteor,/ˈmiːtiər/,mitiər,wordreference,train
data/raw/phonemeref_data/audio/unique/en093936.mp3,unique,/juːˈniːk/,junik,wordreference,train
data\speechocean\audio\so_train_01298.wav,SO IT WAS NOW,soʊɪtwəznaʊ,soʊɪtwəznaʊ,speechocean762,test
data/raw/phonemeref_data/audio/hacker/en040999.mp3,hacker,/ˈhækər/,hækər,wordreference,train
data/raw/phonemeref_data/audio/rite/en073598.mp3,rite,/ˈraɪt/,raɪt,wordreference,train
data\speechocean\audio\so_train_01265.wav,SHE LIKED WAKING ON HIM,ʃilaɪktweɪkɪŋənhɪm,ʃilaɪktweɪkɪŋənhɪm,speechocean762,test
data/raw/phonemeref_data/audio/prized/en1068505.mp3,prized,/ˈpraɪzd/,praɪzd,wordreference,train
data/raw/phonemeref_data/audio/sacred/en074730.mp3,sacred,/ˈseɪkrɪd/,seɪkrɪd,wordreference,train
